vector_name,first_byte,last_byte,bytes_hex,status,pdf_page,notes
read-record,1,2,FE FE,structural,168,"PDF p.168 (folio 159), ""Controller to IC-7600"" strip, preamble."
read-record,3,3,7A,structural,168,"Same strip: transceiver's default address (PDF p.151 folio 142 corroborates, ""The IC-7600's address is 7Ah."")."
read-record,4,4,E0,structural,168,"Same strip: controller's default address (civ.ControllerAddressDefault)."
read-record,5,6,1A 00,manual_documented,170,"Command table row ""1A 00 see p.169 Send/read memory contents"" (PDF p.170 folio 161); record diagram heading ""Command: 1A 00"" (PDF p.178 folio 169)."
read-record,7,8,00 01,inherited_assumed,-,"D5 entry 1 (R1): the document prints no 1A 00 read request anywhere; that a read carries the channel selector is ASSUMED, same posture as the IC-7610 matrix."
read-record,9,9,FD,structural,168,"End-of-message byte."
set-record-name-with-space,1,4,FE FE 7A E0,structural,168,"As read-record."
set-record-name-with-space,5,8,1A 00 00 01,manual_documented,178,"Command and channel address, memory channel 01."
set-record-name-with-space,9,9,00,manual_documented,178,"Byte (3): select memory setting = 00 (OFF) - the whole-byte UNMAPPED region, Fixed template value (profile.go SelectByteOffset)."
set-record-name-with-space,10,14,00 00 25 14 00,manual_documented,175,"Bytes (4)-(8): 14.250000 MHz, little-endian packed BCD (PDF p.175 folio 166 digit table)."
set-record-name-with-space,15,15,01,manual_documented,175,"Byte (9): mode = USB (0x01)."
set-record-name-with-space,16,16,01,manual_documented,175,"Byte (10): filter = FIL1 (0x01)."
set-record-name-with-space,17,17,01,manual_documented,178,"Byte (11): low nibble TONE (0x1), high nibble 0x0 (data mode OFF, UNMAPPED region, Fixed template value)."
set-record-name-with-space,18,20,00 08 85,manual_documented,177,"Bytes (12)-(14): repeater tone 88.5 Hz -> 885 deciHz, big-endian packed BCD (PDF p.177 folio 168)."
set-record-name-with-space,21,23,00 10 00,manual_documented,177,"Bytes (15)-(17): tone squelch 100.0 Hz -> 1000 deciHz, big-endian packed BCD."
set-record-name-with-space,24,33,48 4F 4D 45 20 51 54 48 30 31,manual_documented,178,"Bytes (18)-(27): ASCII ""HOME QTH01"" (ten characters, includes a space - D5 entry 3, R3)."
set-record-name-with-space,34,34,FD,structural,168,"End-of-message byte."
read-transceiver-id,1,6,FE FE 7A E0 19 00,manual_documented,170,"Command table row ""19 00 (blank Data cell) Read the transceiver ID"" (PDF p.170 folio 161)."
read-transceiver-id,7,7,FD,structural,168,"End-of-message byte."
manual-example-14,1,9,FE FE FE FE FE FE FE FE FE,inherited_assumed,-,"Multi-preamble wake sequence, the general Icom CI-V family convention (mirrors the IC-7610 golden vector's own manual-example-14); not independently re-confirmed against this radio's own document for this task."
manual-example-14,10,13,7A E0 18 01,inherited_assumed,-,"Power-ON command (18 01), same family convention. This tier never sends command 18; the vector exists only to prove the gate refuses it."
manual-example-14,14,14,FD,structural,168,"End-of-message byte."
