diagram_id,field_index,block_label_verbatim,first_byte,first_nibble,last_byte,last_nibble,pdf_page,visual_anchor,notes
D1,"①, ②",-,1,1,2,2,20,"Main cell row beneath ""Command: 1A 00""; the leftmost two shaded cells, under the bracket labelled ""①, ②"" whose right leg falls on the right edge of the second cell.","Whole bytes. Every drawn cell holds two X glyphs split by a dotted vertical rule, so nibble 1 is the left X and nibble 2 the right X. Drawn cells 1-2, agreeing with the printed numerals. STOP 10"
D1,③,-,3,1,3,2,20,"Main cell row; the third cell from the left, the first unshaded cell, with a bare circled 3 centred above it and no bracket legs.","Whole byte. Drawn cell 3, agreeing with the printed numeral."
D1,"④ ~ ⑧",-,4,1,8,2,20,"Main cell row; the bracket labelled ""④ ~ ⑧"" begins at the left edge of the fourth cell and its V-shaped right leg falls on the right edge of the sixth cell; the fifth cell is a dashed-border cell containing an ellipsis.","Whole bytes. Drawn extent is 3 cells (cell 4 = X:X, cell 5 = dashed ellipsis cell, cell 6 = X:X) against a printed span of 5 bytes. STOP 1"
D1,"⑨, ⑩",-,9,1,10,2,20,"Main cell row; the two unshaded cells immediately right of the ④ ~ ⑧ bracket's V-shaped right leg, under the bracket labelled ""⑨, ⑩"".","Whole bytes. Drawn running position is cells 7-8 against printed 9-10. STOP 2"
D1,⑪,-,11,1,11,2,20,"Main cell row; the single shaded cell carrying a bare circled 11 centred above it, immediately right of the ⑨, ⑩ bracket's right leg.","Whole byte. Drawn running position is cell 9 against printed 11. STOP 3"
D1,"⑫ ~ ⑭",-,12,1,14,2,20,"Main cell row; three unshaded cells under the bracket labelled ""⑫ ~ ⑭"", starting immediately right of the cell headed ⑪ and ending at that bracket's V-shaped right leg.","Whole bytes; drawn extent 3 cells matches the printed span of 3 bytes. Drawn running position is cells 10-12 against printed 12-14. STOP 4"
D1,"⑮ ~ ⑰",-,15,1,17,2,20,"Main cell row; three shaded cells under the bracket labelled ""⑮ ~ ⑰"", between that bracket's left leg and its V-shaped right leg.","Whole bytes; drawn extent 3 cells matches the printed span of 3 bytes. Drawn running position is cells 13-15 against printed 15-17. STOP 5"
D1,"⑱ ~ ㉗",-,18,1,27,2,20,"Main cell row; the rightmost group, under the bracket labelled ""⑱ ~ ㉗"": a shaded X:X cell, then a dashed-border ellipsis cell, then the final shaded X:X cell at the right end of the row.","Whole bytes. Drawn extent is 3 cells against a printed span of 10 bytes; drawn running position is cells 16-18 against printed 18-27; the row holds 18 drawn cells in all against a highest printed index of 27. STOP 6 | STOP 7"
D2,③,-,3,1,3,2,20,"Left column of the page, under the heading ""③: Select memory setting""; the single two-part box printed ""0"" then ""X"", with a circled 3 centred above it.","Nibble 1 is the left half, printed 0, labelled ""Fixed"" by an upward arrow; nibble 2 is the right half, printed X, led by an arrow to the bracketed list 0=OFF / 1= ★1 / 2= ★2 / 3= ★3. Counted from this diagram's own first cell the box is cell 1; the printed numeral is 3. STOP 8"
D3,⑪,-,11,1,11,2,20,"Right column of the page, under the heading ""⑪: Data mode and tone type settings""; the single two-part box printed ""X"" then ""X"", with a circled 11 centred above it.","Nibble 1 is the left half, led by the LOWER horizontal line to ""0: OFF, 1: DATA 1, 2: DATA 2, 3: DATA 3""; nibble 2 is the right half, led by the UPPER horizontal line to ""0: OFF, 1: TONE, 2: TSQL"" - the two printed labels read in the opposite order to the cells they point at. Counted from this diagram's own first cell the box is cell 1; the printed numeral is 11. STOP 9"
