p1,p2,p1_label,p2_label,first_p3,first_name,last_p3,last_name,row_count,pdf_page,visual_anchor
01,01,01 (RADIO SETTING),01 (MODE SSB),01,AGC FAST DELAY,14,RPTT SELECT,14,11,"First subgroup of the chart. P2 cell reading '01' over '(MODE SSB)' is one ruled box spanning the 14 rows from AGC FAST DELAY to RPTT SELECT; its two text lines sit level with P3 rows 07-08. The enclosing P1 cell '01 (RADIO SETTING)' is a single tall box running from the header rule down to the table's closing rule at the foot of the page, covering all six P2 subgroups on this page."
01,02,01 (RADIO SETTING),02 (MODE AM),01,AGC FAST DELAY,15,RPTT SELECT,15,11,"P2 cell '02' over '(MODE AM)' is a ruled box beginning at the rule immediately under MODE SSB row 14 (RPTT SELECT) and ending at the rule under row 15 (RPTT SELECT); label lines sit level with P3 rows 08-09. No vertical rule separates it from the P1 cell above or below, which continues unbroken as '01 (RADIO SETTING)'."
01,03,01 (RADIO SETTING),03 (MODE FM),01,AGC FAST DELAY,16,RPT SHIFT(50MHz),16,11,"P2 cell '03' over '(MODE FM)' spans 16 rows, label level with P3 rows 08-09. This is the subgroup opposite which the P1 label '01' over '(RADIO SETTING)' is printed (level with MODE FM rows 11-12), confirming the P1 cell encloses it."
01,04,01 (RADIO SETTING),04 (MODE PSK/DATA),01,AGC FAST DELAY,16,RPTT SELECT,16,11,"P2 cell '04' over '(MODE PSK/DATA)' spans 16 rows between the rule under MODE FM row 16 and the rule under RPTT SELECT; label level with P3 rows 08-09. Still inside the same unbroken P1 box."
01,05,01 (RADIO SETTING),05 (MODE RTTY),01,AGC FAST DELAY,14,SHIFT FREQUENCY,14,11,"P2 cell '05' over '(MODE RTTY)' spans 14 rows; label level with P3 rows 07-08. Bounded above by the rule under MODE PSK/DATA row 16 and below by the rule under SHIFT FREQUENCY."
01,06,01 (RADIO SETTING),06 (ENC/DEC PSK),01,PSK MODE,05,PSK TX LEVEL,5,11,"Last subgroup on the page. P2 cell '06' over '(ENC/DEC PSK)' spans only 5 rows, label level with P3 rows 02-03. The rule under PSK TX LEVEL is the table's bottom border and closes the P1 cell '01 (RADIO SETTING)' as well; nothing but white space lies between it and the page's black footer bar."
01,07,01 (RADIO SETTING),07 (ENC/DEC RTTY),01,RX USOS,06,BAUDOT CODE,6,12,"First subgroup on the page, directly under the repeated 'Table 2 (MENU Chart)' / P1|P2|P3|Function|P4|Digits header rows. The P1 label '01' over '(RADIO SETTING)' is printed again in a fresh ruled box that is exactly 6 rows tall, matching the P2 box '07' over '(ENC/DEC RTTY)'; both labels sit level with P3 rows 03-04. A full-width rule under BAUDOT CODE closes both cells."
02,01,02 (CW SETTING),01 (MODE CW),01,AGC FAST DELAY,17,CW INDICATOR,17,12,"P1 cell '02' over '(CW SETTING)' opens at the rule under BAUDOT CODE and runs 31 rows to the rule under CW DECODE BW; its label sits level with MODE CW rows 16-17. Inside it the P2 cell '01' over '(MODE CW)' spans 17 rows with its label level with P3 rows 08-09. Row 12 (CW BK-IN DELAY) is a double-height ruled cell."
02,02,02 (CW SETTING),02 (KEYER),01,F KEYER TYPE,13,REPEAT INTERVAL,13,12,"P2 cell '02' over '(KEYER)' spans 13 rows between the rule under CW INDICATOR and the rule under REPEAT INTERVAL; label level with P3 rows 06-07. The P1 column beside it shows no rule, confirming it is still inside the '02 (CW SETTING)' box."
02,03,02 (CW SETTING),03 (DECODE CW),01,CW DECODE BW,01,CW DECODE BW,1,12,"Single-row subgroup. The P2 cell '03' over '(DECODE CW)' is a box exactly the height of the one ruled row, which is itself double-height so the two label lines fit. A rule immediately beneath it crosses both the P2 and the P1 columns, closing the '02 (CW SETTING)' box."
03,01,03 (OPERATION SETTING),01 (GENERAL),01,DECODE RX SELECT,23,KEYBOARD LANGUAGE,23,12,"P1 cell '03' over '(OPERATION SETTING)' opens at the rule under CW DECODE BW and runs to the table's bottom border at the foot of the page; its label sits level with GENERAL rows 15-16. The P2 cell '01' over '(GENERAL)' spans 23 rows, label level with P3 rows 13-14; rows 22 (CS DIAL) and 23 (KEYBOARD LANGUAGE) are multi-line ruled cells."
03,02,03 (OPERATION SETTING),02 (RX-DSP),01,APF WIDTH,05,IF NOTCH WIDTH,5,12,"Last subgroup on the page. P2 cell '02' over '(RX-DSP)' spans 5 rows, label level with P3 rows 02-03. The rule under IF NOTCH WIDTH is the table's bottom border and also closes the P1 cell; the remaining lower third of the page is blank."
