vector_name,first_byte,first_nibble,last_byte,last_nibble,bytes_hex,field_index,status,pdf_page,visual_anchor,notes
read-record,1,-,2,-,FE FE,-,structural,3,"Section ""About the data format"", upper-left strip headed ""Controller to IC-7610"": its first two cells, both printed FE, bracketed as index 1 with the rotated leader ""Preamble code (Fixed)"" below.",Framing byte pair stated directly by the frame diagram.
read-record,3,-,3,-,98,-,structural,3,"Same ""Controller to IC-7610"" strip, third cell printed 98, index 2, rotated leader ""Transceiver's default address"".",Transceiver default address.
read-record,4,-,4,-,E0,-,structural,3,"Same ""Controller to IC-7610"" strip, fourth cell printed E0, index 3, rotated leader ""Controller's default address"".",Controller default address.
read-record,5,-,6,-,1A 00,-,manual_documented,12,"Section ""Command formats"", block ""Memory content"": the line ""Command: 1A 00"" printed directly under that heading and immediately above the 18-cell data-block strip.",Command and sub command printed as these exact bytes.
read-record,7,-,8,-,00 01,1 | 2,inherited_assumed,,,"The document nowhere prints a 1A 00 read request, and nowhere states that a read carries the channel selector; presence of these two bytes is assumed. Justification and settling capture in the .md assumption register."
read-record,9,-,9,-,FD,-,structural,3,"Same ""Controller to IC-7610"" strip, last cell printed FD, index 7, rotated leader ""End of message code (Fixed)"".",End of message byte.
set-record-name-with-space,1,-,2,-,FE FE,-,structural,3,"Section ""About the data format"", upper-left strip headed ""Controller to IC-7610"": its first two cells, both printed FE, bracketed as index 1 with the rotated leader ""Preamble code (Fixed)"" below.",Framing byte pair stated directly by the frame diagram.
set-record-name-with-space,3,-,3,-,98,-,structural,3,"Same ""Controller to IC-7610"" strip, third cell printed 98, index 2, rotated leader ""Transceiver's default address"".",Transceiver default address.
set-record-name-with-space,4,-,4,-,E0,-,structural,3,"Same ""Controller to IC-7610"" strip, fourth cell printed E0, index 3, rotated leader ""Controller's default address"".",Controller default address.
set-record-name-with-space,5,-,6,-,1A 00,-,manual_documented,12,"Section ""Command formats"", block ""Memory content"": the line ""Command: 1A 00"" printed directly under that heading and immediately above the 18-cell data-block strip.",Command and sub command printed as these exact bytes.
set-record-name-with-space,7,-,8,-,00 01,1 | 2,manual_derived,12,"Left column beneath the data-block strip, block headed ""1, 2 Memory channel numbers""; first line of that block reads ""00 01 ~ 00 99: Memory channel 01 ~ 99"".",Memory channel 01 chosen; encoding printed as a range so the chosen value is derived. Working in the .md.
set-record-name-with-space,9,1,9,1,00,3,manual_documented,12,"Left column, block ""3 Select memory setting"": the single two-nibble box printed ""0 | X""; the left nibble's upward arrow drops to the word ""Fixed"".",Left nibble printed as 0 and labelled Fixed. STOP 2
set-record-name-with-space,9,2,9,2,00,3,manual_derived,12,"Same ""3 Select memory setting"" box; the right nibble's leader runs right to the bracketed list ""0=OFF / 1=*1 / 2=*2 / 3=*3"".",Value 0 (OFF) chosen from the printed enumeration.
set-record-name-with-space,10,-,13,-,00 00 25 14,4 | 5 | 6 | 7,manual_derived,11,"Section ""Command formats"", block ""Operating frequency"" (""Command: 00, 03, 05, 1C 03""): cells 1 to 4 of the five-cell strip, rotated leaders reading in printed order 10 Hz, 1 Hz, 1 kHz, 100 Hz, 100 kHz, 10 kHz, 10 MHz, 1 MHz digit.",Frequency 14.250000 MHz chosen and encoded onto the printed digit positions. Working in the .md.
set-record-name-with-space,14,-,14,-,00,8,manual_documented,11,"Same ""Operating frequency"" strip, fifth cell printed ""0 | 0"", rotated leaders ""1 GHz digit: 0 (Fixed)"" and ""100 MHz digit: 0 (Fixed)"".",Both nibbles printed as 0 and labelled Fixed.
