diagram_id,field_index,block_label_verbatim,first_byte,first_nibble,last_byte,last_nibble,pdf_page,visual_anchor,notes
D1,"①, ②",-,1,1,2,2,12,"Main memory-channel strip on p12, top row (the row whose right end runs into the wrap-round arrow); the two leftmost byte cells, under the bracket labelled ①, ②.","Drawn cells: row 1 cells 1-2 of 7 solid cells. Row 1 draws 6 solid cells, then a dotted-outline ellipsis cell containing three dots, then 1 solid cell. Both passes agree."
D1,"③, ④",-,3,1,4,2,12,"Main strip p12, top row, third and fourth byte cells, under the bracket labelled ③, ④, immediately right of the ①, ② bracket.",Drawn cells: row 1 cells 3-4. Both passes agree.
D1,⑤,-,5,1,5,2,12,"Main strip p12, top row, fifth byte cell, under the free-standing circled numeral ⑤ (no bracket), between the ③, ④ bracket and the ⑥ ~ ⑩ bracket.","Drawn cells: row 1 cell 5. Single cell, two nibbles. Both passes agree."
D1,⑥ ~ ⑩,-,6,1,10,2,12,"Main strip p12, top row, from the sixth solid byte cell to the last solid byte cell of the row, under the bracket labelled ⑥ ~ ⑩ whose right tick falls at the row's right-hand end.",STOP 2. Drawn as 2 solid cells (row 1 cells 6 and 7) with a dotted-outline ellipsis cell between them; drawn solid-cell count 2 is fewer than the 5 bytes implied by the printed range. Extent read from the printed range numerals. Both passes agree on the drawing.
D1,"⑪, ⑫",-,11,1,12,2,12,"Main strip p12, middle row (the row entered by the left-hand wrap-round arrowhead); the two leftmost byte cells, under the bracket labelled ⑪, ⑫.","Drawn cells: row 2 cells 1-2 of 7 solid cells. Row 2 draws 4 solid cells, a dotted-outline ellipsis cell, then 3 solid cells. Both passes agree."
D1,⑬,-,13,1,13,2,12,"Main strip p12, middle row, third byte cell, under the free-standing circled numeral ⑬, immediately right of the ⑪, ⑫ bracket.",Drawn cells: row 2 cell 3. Both passes agree.
D1,⑭ ~ ⑰,-,14,1,17,2,12,"Main strip p12, middle row, from the fourth solid byte cell to the fifth solid byte cell (the one just right of the ellipsis), under the bracket labelled ⑭ ~ ⑰.",STOP 2. Drawn as 2 solid cells (row 2 cells 4 and 5) with a dotted-outline ellipsis cell between them; drawn solid-cell count 2 is fewer than the 4 bytes implied by the printed range. Extent read from the printed range numerals. Both passes agree on the drawing.
D1,"⑱, ⑲",-,18,1,19,2,12,"Main strip p12, middle row, the last two byte cells at the right-hand end of the row, under the bracket labelled ⑱, ⑲.",Drawn cells: row 2 cells 6-7. Both passes agree.
D1,"⑳, ㉑",-,20,1,21,2,12,"Main strip p12, bottom row (the row entered by the lower left-hand wrap-round arrowhead and leaving by the plain right-pointing arrow); the two leftmost byte cells, under the bracket labelled ⑳, ㉑.","Drawn cells: row 3 cells 1-2 of 8 solid cells. Row 3 draws 7 solid cells, a dotted-outline ellipsis cell, then 1 solid cell. Both passes agree."
D1,㉒,-,22,1,22,2,12,"Main strip p12, bottom row, third byte cell, under the free-standing circled numeral ㉒, immediately right of the ⑳, ㉑ bracket.",Drawn cells: row 3 cell 3. Both passes agree.
