diagram_id,field_index,label_verbatim,width_bytes,encoding,values_verbatim,pdf_page,visual_anchor,notes
D1,"①, ②",Memory group number,2,bcd_packed,0000 ~ 0099: Normal memory channel group | 0100: Auto Write Memory channel group | 0101: Scan Skip channel group | 0102: Programmable Scan Edge channel group,12,"PDF page 12, left column, field-definition list below the three-band diagram of command 1A 00; first heading in that list, immediately below the note beginning ⓘIn the modes other than FM and Digital.","mode class: common (all receiving modes). Measured byte position 1-2 of band 1. Width counted on the render: the bracket ①, ② spans the first two boxes and each box is drawn as two nibbles. encoding bcd_packed: every printed value is a four decimal-digit string carried in two bytes."
D1,"③, ④",Memory channel numbers,2,bcd_packed,"0000 ~ 0099: Normal memory channel (00 ~ 99) | Scan Skip channel (S00 ~ S99) | Programmable Scan Edge channel (P00A, P00B ~ P49A, P49B) | 0000 ~ 0199: Auto Write Memory channels (A000 ~ A199)",12,"PDF page 12, left column, field-definition list below the three-band diagram of command 1A 00; second heading, directly below the Memory group number block.",mode class: common. Measured byte position 3-4 of band 1. The three indented lines that follow 0000 ~ 0099 are printed under that one code and are transcribed as separate entries in printed order. encoding bcd_packed: four decimal digits over two bytes.
D1,⑤,Skip/Select Memory scan setting,1,enum_nibble,0=SKIP OFF | 1=SKIP | 2=PSKIP | 0 =OFF | 1 ~ 9=★1 ~ ★9,12,"PDF page 12, left column, field-definition list below the three-band diagram of command 1A 00; the one-box sub-diagram headed ⑤, with two arrows rising from the box.","mode class: common. Measured byte position 5 of band 1. Leaders followed by eye on the render: the LEFT nibble carries 0=SKIP OFF / 1=SKIP / 2=PSKIP and the RIGHT nibble carries 0 =OFF and 1 ~ 9=★1 ~ ★9; entries are listed in that drawn left-to-right order. 0 =OFF is printed with a space before the equals sign. Also printed below the sub-diagram: ⓘSet ""00"" for the Programmable Scan Edge channel. encoding enum_nibble: each nibble carries its own enumerated code list."
D1,⑥ ~ ⑩,Receiving frequency,5,unstated,,12,"PDF page 12, left column, field-definition list below the three-band diagram of command 1A 00; heading printed below the ⓘSet ""00"" note, with one line of text under it and no sub-diagram.","mode class: common. Measured byte position 6-10 of band 1. The only thing printed against this field is: Refer to ""Receiving frequency"" (p. 9). No code, range or encoding is printed for it on any page this leg was given, so values_verbatim is empty; the referenced page (folio 9 = PDF page 10) was outside the pages the brief named and was not read."
D1,"⑪, ⑫",Receiving mode,2,unstated,,12,"PDF page 12, left column, field-definition list below the three-band diagram of command 1A 00; heading below the Receiving frequency block, one line of text and no sub-diagram.","mode class: common. Measured byte position 1-2 of band 2. Only Refer to ""Receiving mode"" (p. 9) is printed against this field; nothing else is stated, so values_verbatim is empty. Folio 9 = PDF page 10 was not read (outside the named pages)."
D1,⑬,Duplex setting,1,enum_nibble,0 (Fixed) | 0=OFF | 1=DUP– | 2=DUP+,12,"PDF page 12, left column, field-definition list below the three-band diagram of command 1A 00; the one-box sub-diagram headed ⑬ at the foot of the left column, box drawn as 0 : X.","mode class: common. Measured byte position 3 of band 2. Left nibble is printed as the literal 0 with the leader 0 (Fixed); right nibble carries the three codes. The dash in DUP– is drawn as a long dash and is recorded here as U+2013. encoding enum_nibble: the low nibble carries an enumerated code list, the high nibble is a fixed printed 0."
D1,⑭ ~ ⑰,Offset frequency,4,unstated,,12,"PDF page 12, right column, field-definition list of command 1A 00; first heading at the top of the right column, one line of text and no sub-diagram.","mode class: common. Measured byte position 4-7 of band 2. Only Refer to ""Offset frequency"" (p. 9) is printed against this field, so values_verbatim is empty. Folio 9 = PDF page 10 was not read (outside the named pages)."
D1,⑱,Tuning step (TS),1,enum_byte,TS function | 00=OFF | 01=ON,12,"PDF page 12, right column, field-definition list of command 1A 00; left-hand box of the two-box sub-diagram under the heading ⑱, ⑲ Tuning step (TS), the arrow from it running down to TS function.","mode class: common. Measured byte position 8 of band 2. label_verbatim is the printed heading for the pair ⑱, ⑲; the per-index annotation TS function is carried in values_verbatim. encoding enum_byte: the two codes are printed as two-digit byte values, 00 and 01, against the whole box."
D1,⑲,Tuning step (TS),1,unstated,*00=10 Hz (TS OFF) is invalid.,12,"PDF page 12, right column, field-definition list of command 1A 00; right-hand box of the same two-box sub-diagram, the arrow from it running to Tuning step setting.","mode class: common. Measured byte position 9 of band 2. Printed against this box: Tuning step setting (Refer to command 10 (p. 3)) *00=10 Hz (TS OFF) is invalid. Only the asterisked line states a value, so it alone is in values_verbatim; the code list itself is not printed here and folio 3 = PDF page 4 was not read (outside the named pages)."
D1,⑳,Programmable tuning step,1,bcd_packed,1 kHz digit: 0 ~ 9 | 100 Hz digit: 0 ~ 9,12,"PDF page 12, right column, field-definition list of command 1A 00; left-hand box of the four-nibble sub-diagram under the heading ⑳, ㉑ Programmable tuning step.","mode class: common. Measured byte position 1 of band 3. HAZARD (c): the four labels are PRINTED top-to-bottom as 10 kHz, 100 kHz, 100 Hz, 1 kHz, which is the exact reverse of the drawn nibble order; each leader was followed by eye on the render. Drawn order left to right is 1 kHz, 100 Hz, 100 kHz, 10 kHz, and values_verbatim is in that drawn order. encoding bcd_packed: each nibble is one decimal digit with a printed decimal weight."
