vector_name,first_byte,first_nibble,last_byte,last_nibble,bytes_hex,field_index,status,pdf_page,visual_anchor,notes
read-record,1,-,2,-,FE FE,-,structural,3,Data format diagram headed Controller to IC-705 under the sub-heading About the data format; cell 1 is drawn as two sub-cells each printed FE and its leader reads Preamble code (fixed).,
read-record,3,-,3,-,A4,-,structural,3,Same diagram; cell 2 printed A4 immediately to the right of the FE pair; its leader reads Transceiver's default address and crosses to cell 3 of the lower frame.,
read-record,4,-,4,-,E0,-,structural,3,Same diagram; cell 3 printed E0 immediately to the right of A4; its leader reads Controller's default address and crosses to cell 2 of the lower frame.,
read-record,5,-,5,-,1A,-,manual_documented,6,Command table; the Cmd. column cell printed 1A* on the row whose Description column reads Send/read memory contents and whose Data column reads See pp. 18 and 19.,Asterisk key on PDF page 17 reads *(Asterisk) Send/read data.
read-record,6,-,6,-,00,-,manual_documented,6,Same row of the command table; the Sub cmd. column cell printed 00 immediately to the right of the cell printed 1A*.,
read-record,7,-,10,-,00 00 00 12,1-4,inherited_assumed,,,Assumption register A1. The document prints no read form for 1A 00; the data area is assumed to be fields 1-4 and nothing further. The four values encode memory group 0000 and memory channel 0012 under the encoding printed on PDF page 19.
read-record,11,-,11,-,FD,-,structural,3,"Same diagram; cell 7 printed FD at the right-hand end, immediately right of the wide cell printed Data area; its leader reads End of message code (fixed).",
set-record-name-with-space,1,-,2,-,FE FE,-,structural,3,Data format diagram headed Controller to IC-705 under the sub-heading About the data format; cell 1 is drawn as two sub-cells each printed FE and its leader reads Preamble code (fixed).,
set-record-name-with-space,3,-,3,-,A4,-,structural,3,Same diagram; cell 2 printed A4 immediately to the right of the FE pair; its leader reads Transceiver's default address and crosses to cell 3 of the lower frame.,
set-record-name-with-space,4,-,4,-,E0,-,structural,3,Same diagram; cell 3 printed E0 immediately to the right of A4; its leader reads Controller's default address and crosses to cell 2 of the lower frame.,
set-record-name-with-space,5,-,5,-,1A,-,manual_documented,6,Command table; the Cmd. column cell printed 1A* on the row whose Description column reads Send/read memory contents.,Asterisk key on PDF page 17 reads *(Asterisk) Send/read data.
set-record-name-with-space,6,-,6,-,00,-,manual_documented,6,Same row of the command table; the Sub cmd. column cell printed 00 immediately to the right of the cell printed 1A*.,
set-record-name-with-space,7,-,8,-,00 00,1 | 2,manual_derived,19,"Memory content data block, upper band: the first two cells, both unshaded, under the bracket labelled 1, 2; the legend below reads 0000 ~ 0099: Memory channel group.",Group 0000 chosen. Four BCD digits 0 0 0 0 packed two per byte.
set-record-name-with-space,9,-,10,-,00 12,3 | 4,manual_derived,19,"Memory content data block, upper band: the third and fourth cells, both shaded, under the bracket labelled 3, 4; the legend reads When Memory channel group is selected, 0000 ~ 0099: 00 ~ 99.",Channel 0012 chosen. Four BCD digits 0 0 1 2 packed two per byte.
set-record-name-with-space,11,1,11,1,00,5,manual_derived,19,"Legend diagram under the heading 5: Split and Select memory setting; the left-hand X of the two-part box, whose leader runs down and right to the line 0=Split OFF,1=Split ON.",Split OFF chosen. Run carries the first-printed nibble of frame byte 11 only.
set-record-name-with-space,11,2,11,2,00,5,manual_derived,19,"Same 5 legend diagram; the right-hand X, whose leader runs right to the bracketed list 0=OFF*, 1=star 1, 2=star 2, 3=star 3.",Select memory OFF chosen. Run carries the second-printed nibble of frame byte 11 only.
set-record-name-with-space,12,-,15,-,00 00 50 45,6 | 7 | 8 | 9,manual_derived,18,"Operating frequency diagram under the bullet heading Operating frequency, Command: 00, 03, 05, 1C 03; cells 1 to 4, whose eight nibble leaders read 10 Hz digit, 1 Hz digit, 1 kHz digit, 100 Hz digit, 100 kHz digit, 10 kHz digit, 10 MHz digit, 1 MHz digit.",145.500000 MHz chosen. Digits 1 Hz=0 10 Hz=0 100 Hz=0 1 kHz=0 10 kHz=0 100 kHz=5 1 MHz=5 10 MHz=4 give 00 00 50 45.
set-record-name-with-space,16,1,16,1,01,10,manual_documented,18,"Same operating frequency diagram; cell 5, whose left half is printed as the digit 0 and whose leader reads 1 GHz digit: (fixed).",
set-record-name-with-space,16,2,16,2,01,10,manual_derived,18,"Same operating frequency diagram; cell 5, right half printed X, leader reads 100 MHz digit: 0 ~ 4.",100 MHz digit of 145.5 MHz is 1.
set-record-name-with-space,17,-,17,-,05,11,manual_derived,18,"Operating mode table under the bullet heading Operating mode, Command: 01, 04, 06; column headed 1 Operating mode, right-hand sub-column, the row printed 05:FM.",FM chosen.
set-record-name-with-space,18,-,18,-,01,12,manual_derived,18,"Same table; the column headed 2 Filter setting, first row, printed 01:FIL1.",FIL1 chosen.
set-record-name-with-space,19,-,19,-,00,13,manual_derived,19,"Legend text under 13: Data mode setting on the memory content page; the line printed 00: Data mode OFF, directly under the line 1 byte data (XX).",Data mode OFF chosen.
set-record-name-with-space,20,-,20,-,11,14,manual_derived,19,Legend diagram under the heading 14: Duplex and Tone settings; the left X leads to 0=Duplex OFF / 1=Duplex- / 2=Duplex+ and the right X leads to 0=OFF / 1=TONE / 2=TSQL / 3=DTCS.,"Duplex- (first nibble 1) and TONE (second nibble 1) chosen; both nibbles derived from the same diagram, so the run is whole-byte."
set-record-name-with-space,21,1,21,1,00,15,manual_derived,19,"Legend diagram under the heading 15: Digital squelch setting; the left X, above the list beginning 0=Digital squelch function OFF.",Digital squelch OFF chosen. First-printed nibble only.
set-record-name-with-space,21,2,21,2,00,15,manual_documented,19,Same 15 diagram; the right half of the box is printed as the digit 0 and its leader is labelled Fixed.,Second-printed nibble only.
set-record-name-with-space,22,-,22,-,00,16,manual_documented,23,"Repeater tone/tone squelch frequency settings diagram, Command: 1B 00, 1B 01; cell 1*, both halves printed as the digit 0, leaders reading Fixed digit: 0*.","The footnote to that cell reads *Not necessary when setting a frequency; the memory content diagram nevertheless prints 16 as its own numbered cell, so the byte is present here."
set-record-name-with-space,23,-,24,-,08 85,17 | 18,manual_derived,23,"Same diagram; cells 2 and 3, whose four nibble leaders read 100Hz digit: 0 ~ 2, 10 Hz digit: 0 ~ 9, 1 Hz digit: 0 ~ 9, 0.1 Hz digit: 0 ~ 9.",88.5 Hz chosen. 100 Hz=0 10 Hz=8 1 Hz=8 0.1 Hz=5 give 08 85.
set-record-name-with-space,25,-,25,-,00,19,manual_documented,23,"Same diagram, cell 1*, read a second time for the second three-byte tone field of the record.",Legend for 19 to 21 on PDF page 19 points to the same p. 22 diagram.
set-record-name-with-space,26,-,27,-,08 85,20 | 21,manual_derived,23,"Same diagram; cells 2 and 3, nibble leaders 100Hz digit, 10 Hz digit, 1 Hz digit, 0.1 Hz digit.",88.5 Hz chosen for the second tone field as well.
set-record-name-with-space,28,-,28,-,00,22,manual_derived,23,"DTCS code and polarity setting diagram, Command: 1B 02; cell 1, left X leading to Transmit polarity: 0=Normal 1=Reverse and right X leading to Receive polarity: 0=Normal 1=Reverse.","Normal transmit and Normal receive polarity chosen; both nibbles from the same diagram, so the run is whole-byte."
set-record-name-with-space,29,1,29,1,00,23,manual_documented,23,"Same DTCS diagram; cell 2, left half printed as the digit 0 with the leader 0 (fixed).",First-printed nibble only.
set-record-name-with-space,29,2,29,2,00,23,manual_derived,23,"Same DTCS diagram; cell 2, right half printed X with the leader First digit: 0 ~ 7.",DTCS code 023 chosen; first digit 0. Second-printed nibble only.
set-record-name-with-space,30,-,30,-,23,24,manual_derived,23,"Same DTCS diagram; cell 3, leaders Second digit: 0 ~ 7 and Third digit: 0 ~ 7.","DTCS code 023; second digit 2, third digit 3."
set-record-name-with-space,31,-,31,-,00,25,manual_derived,24,"DV Digital code squelch setting diagram, Command: 1B 07; the single cell 1, leaders First digit: 0 ~ 9 and Second digit: 0 ~ 9.",Code 00 chosen.
set-record-name-with-space,32,-,33,-,00 60,26 | 27,manual_derived,18,"Duplex Offset frequency setting diagram, Command: 0C, 0D; cells 1 and 2, nibble leaders 1 kHz digit, 100 Hz digit, 100 kHz digit, 10 kHz digit.",600 kHz offset chosen. 1 kHz=0 100 Hz=0 100 kHz=6 10 kHz=0 give 00 60.
set-record-name-with-space,34,1,34,1,00,28,manual_documented,18,"Same duplex offset diagram; cell 3, left half printed as the digit 0 with the leader 10 MHz digit: (fixed).",First-printed nibble only.
set-record-name-with-space,34,2,34,2,00,28,manual_derived,18,"Same duplex offset diagram; cell 3, right half printed X with the leader 1 MHz digit: 0 ~ 9.",1 MHz digit of a 600 kHz offset is 0. Second-printed nibble only.
set-record-name-with-space,35,-,40,-,43 51 43 51 43 51,29 | 30 | 31 | 32 | 33 | 34,manual_derived,24,Table headed Character's code of the call sign on the DV TX call signs setting page; the row printed A ~ Z alongside 41 ~ 5A.,UR call sign CQCQCQ chosen. C is the third letter so 41+2=43; Q is the seventeenth so 41+16=51.
set-record-name-with-space,41,-,42,-,20 20,35 | 36,manual_derived,24,"Same table; the row printed (Space) alongside 20, third data row from the top.","UR field padded to the printed width 8 characters, fixed."
set-record-name-with-space,43,-,50,-,20 20 20 20 20 20 20 20,37 | 38 | 39 | 40 | 41 | 42 | 43 | 44,manual_derived,24,Same table; the row printed (Space) alongside 20.,"R1 access repeater call sign left blank as eight space characters, filling the printed width 8 characters, fixed."
set-record-name-with-space,51,-,58,-,20 20 20 20 20 20 20 20,45 | 46 | 47 | 48 | 49 | 50 | 51 | 52,manual_derived,24,Same table; the row printed (Space) alongside 20.,"R2 gateway/link repeater call sign left blank as eight space characters, filling the printed width 8 characters, fixed."
set-record-name-with-space,59,-,105,-,00 00 50 45 01 05 01 00 11 00 00 08 85 00 08 85 00 00 23 00 00 60 00 43 51 43 51 43 51 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20,printed 6 ~ 52 in filled reversed circled numerals | measured data-block positions 53-99,manual_derived,19,"Memory content data block, lower band: the wide shaded dotted cell lying between the group bracketed 45 ~ 52 and the group bracketed 53 ~ 68, labelled above with filled reversed circled numerals reading 6 ~ 52; the grey NOTE box below the legend reads The same data as 6 ~ 52 are stored in 6 ~ 52 with the second pair in filled reversed circles.","STOP 1. Byte-for-byte copy of frame bytes 12 to 58. Width 47 is derived from the printed index range 6 to 52 inclusive, not measured: the region is drawn as one elided cell."
set-record-name-with-space,106,-,107,-,4D 59,53 | 54,manual_derived,20,"Codes for character entries, table headed Character codes - Letters and Numbers; the row printed A ~ Z alongside 41 ~ 5A.",STOP 1. Memory name MY REPEATER CH01 chosen. M is the thirteenth letter so 41+12=4D; Y is the twenty-fifth so 41+24=59.
set-record-name-with-space,108,-,108,-,20,55,inherited_assumed,,,Assumption register A2. The space character inside the memory name. The character table the memory name field points to prints no code for a space.
set-record-name-with-space,109,-,116,-,52 45 50 45 41 54 45 52,56 | 57 | 58 | 59 | 60 | 61 | 62 | 63,manual_derived,20,Same table; the row printed A ~ Z alongside 41 ~ 5A.,"Letters REPEATER. R=41+17=52, E=41+4=45, P=41+15=50, A=41, T=41+19=54."
set-record-name-with-space,117,-,117,-,20,64,inherited_assumed,,,Assumption register A2. The second space character inside the memory name.
set-record-name-with-space,118,-,119,-,43 48,65 | 66,manual_derived,20,Same table; the row printed A ~ Z alongside 41 ~ 5A.,"Letters CH. C=41+2=43, H=41+7=48."
set-record-name-with-space,120,-,121,-,30 31,67 | 68,manual_derived,20,"Same table; the row printed 0 ~ 9 alongside 30 ~ 39, directly below the A ~ Z row.","Digits 01. 0=30, 1=31."
set-record-name-with-space,122,-,122,-,FD,-,structural,3,"Same diagram; cell 7 printed FD at the right-hand end, immediately right of the wide cell printed Data area; its leader reads End of message code (fixed).",
read-transceiver-id,1,-,2,-,FE FE,-,structural,3,Data format diagram headed Controller to IC-705 under the sub-heading About the data format; cell 1 is drawn as two sub-cells each printed FE and its leader reads Preamble code (fixed).,
read-transceiver-id,3,-,3,-,A4,-,structural,3,Same diagram; cell 2 printed A4 immediately to the right of the FE pair; its leader reads Transceiver's default address and crosses to cell 3 of the lower frame.,
read-transceiver-id,4,-,4,-,E0,-,structural,3,Same diagram; cell 3 printed E0 immediately to the right of A4; its leader reads Controller's default address and crosses to cell 2 of the lower frame.,
