diagram_id,field_index,label_verbatim,width_bytes,encoding,values_verbatim,pdf_page,visual_anchor,notes
D1,"(1), (2)",Memory group number,2,bcd_packed,"0000 ~ 0099: Memory channel group | 0100: Call channel group | To clear the memory channel contents on 1A 00: (1), (2): Memory channel group (0000~0099) You cannot specify group “0100” (Call channel group)",19,"First band of the Memory content diagram: the two leftmost boxes, under the bracket labelled (1), (2); the matching legend entry is the first item of the left-hand text column below the diagram.","Two outline-circled indices printed over one bracket spanning 2 boxes, each box holding two X nibbles; measured byte positions 1-2. bcd_packed because the 4 nibbles carry the 4 printed decimal digits (0000 ~ 0099, 0100), one digit per nibble. The alignment gap printed after “0100:” is reproduced as a single space. The second group of values is printed in the right-hand column under the heading To clear the memory channel contents on 1A 00:"
D1,"(3), (4)",Memory channel numbers,2,bcd_packed,"When Memory channel group is selected, 0000 ~ 0099: 00 ~ 99 | When Call channel group is selected, 0000, 0001: 144 C1, C2 | 0002, 0003: 430 C1, C2 | To clear the memory channel contents on 1A 00: (3), (4): Memory channel (0000~0099)",19,"First band, the third and fourth boxes (the first shaded pair), under the bracket labelled (3), (4); legend entry is the second item of the left-hand column.",Bracket spans 2 boxes; measured byte positions 3-4. bcd_packed because the 4 nibbles carry 4 printed decimal digits. The bullet markers printed before the two When ... items are not reproduced. The final entry is printed in the right-hand column under To clear the memory channel contents on 1A 00:
D1,(5),Split and Select memory setting,1,enum_nibble,"0=OFF* | 1= ★1 | 2= ★2 | 3= ★3 | 0=Split OFF,1=Split ON | * Set 0 for Call channel. | To clear the memory channel contents on 1A 00: (5): “FF,” (6) ~ : None",19,"First band, the fifth box (white, between the shaded (3), (4) pair and the shaded (6)~(10) group), labelled (5) with no bracket; expanded by the inset box drawn under the legend heading (5): Split and Select memory setting.","One box, 2 nibbles; measured byte position 5. enum_nibble because each nibble carries its own single-digit code list. Leaders followed by eye on the inset: the arrow under the RIGHT-hand X reaches the bracketed list 0=OFF* to 3= ★3, and the arrow under the LEFT-hand X reaches 0=Split OFF,1=Split ON. Values are listed here in printed top-to-bottom order, which runs opposite to cell order. ★ is a filled five-pointed star; the space printed after 1=, 2= and 3= is reproduced, as is the absence of a space after the comma in 0=Split OFF,1=Split ON"
D1,(6)~(10),Operating frequency setting,5,unstated,,19,"First band, the shaded group immediately right of the (5) box: two X X boxes with a dashed ellipsis box between them, under the bracket labelled (6)~(10); legend entry follows * Set 0 for Call channel. in the left-hand column.","Drawn as 2 boxes plus a dashed ellipsis box; width taken as the 5 printed indices 6 to 10, one byte per index on the convention the un-elided groups establish; measured byte positions 6-10. No value is printed for this field: the page prints only the cross-reference See “Operating frequency.” (p. 17). The clear-command line (5): “FF,” (6) ~ : None prints an open-ended range beginning at (6) and the document does not state where it ends"
D1,"(11), (12)",Operating mode setting,2,unstated,,19,"First band, the two boxes immediately right of the (6)~(10) group, labelled (11) and (12) separately; legend entry follows the (6)~(10) entry in the left-hand column.","The band prints (11) and (12) as two separate labels, one over each box (measured byte positions 11-12), whilst the legend prints them as one paired entry. No value is printed: the page prints only the cross-reference See “Operating mode.” (p. 17)"
D1,(13),Data mode setting,1,enum_byte,1 byte data (XX) | 00: Data mode OFF | 01: Data mode ON,19,"First band, the white box labelled (13), between the shaded (12) box and the shaded (14) box; legend entry follows the (11), (12) entry in the left-hand column.",One box; measured byte position 13. The width is stated in the text as 1 byte data (XX). enum_byte because the printed codes are two-digit whole-byte values
D1,(14),Duplex and Tone settings,1,enum_nibble,0=OFF | 1=TONE | 2=TSQL | 3=DTCS | 0=Duplex OFF | 1=Duplex− | 2=Duplex+,19,"First band, the shaded box labelled (14), between the (13) box and the (15) box; expanded by the inset box under the legend heading (14): Duplex and Tone settings.","One box, 2 nibbles; measured byte position 14. enum_nibble because each nibble carries its own single-digit code list. Leaders followed by eye on the inset: the arrow under the RIGHT-hand X reaches the bracketed list 0=OFF to 3=DTCS, and the arrow under the LEFT-hand X reaches the bracketed list 0=Duplex OFF to 2=Duplex+. Values are listed here in printed top-to-bottom order, which runs opposite to cell order. The Duplex minus glyph is drawn as a long mid-height dash and is transcribed as U+2212"
D1,(15),Digital squelch setting,1,enum_nibble,Fixed | 0=Digital squelch function OFF | 1=Digital call sign squelch function ON (DSQL) | 2=Digital code squelch function ON (CSQL),19,"First band, the white box labelled (15) that prints X 0 rather than X X, immediately left of the shaded (16)~(18) group; expanded by the inset box under the legend heading (15): Digital squelch setting.","One box, 2 nibbles; measured byte position 15. Both the band and the inset print X in the first nibble and a literal 0 in the second; on the inset the leader from the second nibble is labelled Fixed. enum_nibble because the first nibble carries the three listed single-digit codes; the second nibble is the fixed literal 0. The second glyph is the digit zero, identical in shape to the zero in 0=Digital squelch function OFF on the same page"
D1,(16)~(18),Repeater tone frequency setting,3,unstated,,19,"First band, the three shaded boxes under the bracket labelled (16)~(18), immediately right of the (15) box; legend entry is the first item of the right-hand text column.","Bracket spans 3 boxes; measured byte positions 16-18. No value is printed; a single cross-reference See “Repeater tone/tone squelch frequency setting.” (p. 22) is printed once, below the (19)~(21) entry. STOP 1"
D1,(19)~(21),Repeater tone frequency setting,3,unstated,,19,"First band, the three white boxes under the bracket labelled (19)~(21), between the shaded (16)~(18) group and the shaded (22)~(24) group; legend entry is the second item of the right-hand column.",Bracket spans 3 boxes; measured byte positions 19-21. The label is printed word for word the same as the (16)~(18) entry directly above it. No value is printed. STOP 1
