diagram_id,field_index,label_verbatim,width_bytes,encoding,values_verbatim,pdf_page,visual_anchor,notes
D1,①,Frequency band setting,1,enum_byte,01: 144 MHz frequency band | 02: 430 MHz frequency band | 03: 1.2 GHz frequency band,15,"Leftmost byte cell of the upper wrapped row of the 1A 00 data block, directly under the circled index ①; semantics head the left text column below the diagram.",Outlined circled numeral. Measured byte position 1. enum_byte: the page prints a closed list of two-digit whole-byte codes with meanings against this one-byte cell.
D1,"②, ③",Memory channel number,2,bcd_packed,"0001 ~ 0099: Memory channel 1 to 99 | 0100, 0101: Program Scan Edge channel 1A, 1B | 0102, 0103: Program Scan Edge channel 2A, 2B | 0104, 0105: Program Scan Edge channel 3A, 3B | 0106, 0107: Call channel C1, C2 | ②, ③ :Memory channel (0001~0099)",15,"Second and third byte cells (shaded) of the upper wrapped row, under the bracket labelled ②, ③; semantics in the left text column, second entry.",Outlined circled numerals printed as a comma pair. Measured byte positions 2-3. bcd_packed: printed values are four decimal digits and the two byte cells are each split by a dotted rule into two nibble cells. The last value entry is printed under the heading “To clear the memory channel contents on 1A 00:” in the right column.
D1,④,Select memory setting,1,enum_nibble,"0=OFF* | 1= ★1 | 2= ★2 | 3= ★3 | Fixed | * For program scan edge channel, call channel, set to “0.” | ④ : “FF,”",15,"Fourth byte cell of the upper wrapped row, printed 0 : X, under the circled index ④; semantics in the left text column, third entry, with a one-byte mini-diagram.","Outlined circled numeral. Measured byte position 4. enum_nibble: the mini-diagram splits the byte into two nibble cells, the left printing the literal 0 with the leader label Fixed, the right carrying the four-value list. STOP 1: the mini-diagram in the ④ section is captioned with the outlined circled numeral 3, not 4. The entry ④ : “FF,” is printed under “To clear the memory channel contents on 1A 00:” in the right column."
D1,⑤ ~ ⑨,Operating frequency setting,5,unstated,,15,"Fifth group of the upper wrapped row: two shaded byte cells with a dashed ellipsis cell between them, under the bracket labelled ⑤ ~ ⑨; semantics in the left text column below the * footnote.",Outlined circled numerals printed as a range. Measured byte positions 5-9; the diagram elides the group. No values are printed for this field; the page prints only the cross-reference See “Operating frequency.” (p. 13).
D1,"⑩, ⑪",Operating mode setting,2,unstated,,15,"Two white byte cells immediately right of the ⑤ ~ ⑨ group in the upper wrapped row, under the bracket labelled ⑩, ⑪; semantics in the left text column, line immediately below See “Operating frequency.” (p. 13).",Outlined circled numerals printed as a comma pair. Measured byte positions 10-11. No values printed; the page prints only See “Operating mode.” (p. 13).
D1,⑫,Data mode setting,1,enum_byte,1 byte data (XX) | 00: Data mode OFF | 01: Data mode ON,15,"Shaded byte cell under the circled index ⑫ in the upper wrapped row, immediately right of the ⑩, ⑪ pair; semantics in the left text column headed ⑫ Data mode setting.",Outlined circled numeral. Measured byte position 12. enum_byte: the page states “1 byte data (XX)” and lists whole-byte codes 00 and 01.
D1,⑬,Duplex and Tone settings,1,enum_nibble,0=Duplex OFF | 1=Duplex− | 2=Duplex+ | 3=RPS | 0=OFF | 1=TONE | 2=TSQL | 3=DTCS,15,"White byte cell under the circled index ⑬ in the upper wrapped row, between the shaded ⑫ cell and the shaded ⑭ cell; semantics at the foot of the left text column with a one-byte mini-diagram captioned ⑬.","Outlined circled numeral. Measured byte position 13. enum_nibble: the mini-diagram splits the byte into two nibble cells, each with its own leader arrow and value list. Leaders followed by eye: the left nibble takes 0=Duplex OFF / 1=Duplex− / 2=Duplex+ / 3=RPS (list printed below left), the right nibble takes 0=OFF / 1=TONE / 2=TSQL / 3=DTCS (list printed to the right). The section also prints: ⓘ RPS can be set when DD mode is selected, and Duplex (−, +) can be set when other than DD mode is selected."
D1,⑭,Digital squelch setting,1,enum_nibble,0=Digital squelch function OFF | 1=Digital call sign squelch function ON (DSQL) | 2=Digital code squelch function ON (CSQL) | Fixed,15,"Shaded byte cell printed X : 0 under the circled index ⑭, last full cell of the upper wrapped row before the ⑮ ~ ⑰ bracket; semantics head the right text column with a one-byte mini-diagram captioned ⑭.","Outlined circled numeral. Measured byte position 14. enum_nibble: the mini-diagram splits the byte into two nibble cells; leaders followed by eye, the left nibble X carries the three-value list and the right nibble prints the literal 0 with the leader label Fixed."
D1,⑮ ~ ⑰,Repeater tone frequency setting,3,unstated,,15,"Three white byte cells of the upper wrapped row under the bracket labelled ⑮ ~ ⑰, immediately right of the shaded ⑭ cell; semantics in the right text column below the ⑭ block.",Outlined circled numerals printed as a range. Measured byte positions 15-17. No values printed; the page prints one cross-reference covering this field and the next: See “Repeater tone/tone squelch frequency setting.” (p. 20).
D1,⑱ ~ ⑳,Tone squelch frequency setting,3,unstated,,15,"Three shaded byte cells of the upper wrapped row under the bracket labelled ⑱ ~ ⑳, immediately right of the three white ⑮ ~ ⑰ cells; semantics printed on the line below ⑮ ~ ⑰ in the right text column.","Outlined circled numerals printed as a range. Measured byte positions 18-20. No values printed; the cross-reference See “Repeater tone/tone squelch frequency setting.” (p. 20) is printed once, below both this field and ⑮ ~ ⑰."
D1,㉑ ~ ㉓,DTCS code setting,3,unstated,,15,"Three white byte cells of the upper wrapped row under the bracket labelled ㉑ ~ ㉓, immediately right of the three shaded ⑱ ~ ⑳ cells; semantics in the right text column below the ⑮ ~ ⑳ block.",Outlined circled numerals printed as a range. Measured byte positions 21-23. No values printed; the page prints only See “DTCS code and polarity setting.” (p. 20).
D1,㉔,DV Digital code squelch setting,1,unstated,,15,"Last (rightmost) shaded byte cell of the upper wrapped row, under the circled index ㉔, immediately left of the wrap arrow; semantics in the right text column below the ㉑ ~ ㉓ block.",Outlined circled numeral. Measured byte position 24. No values printed; the page prints only See “DV Digital code squelch setting.” (p. 20).
D1,㉕ ~ ㉗,Duplex offset frequency setting,3,unstated,,15,"First three (white) byte cells of the lower wrapped row, immediately right of the wrap arrowhead, under the bracket labelled ㉕ ~ ㉗; semantics in the right text column below the ㉔ block.",Outlined circled numerals printed as a range. Measured byte positions 25-27. No values printed; the page prints only See “Duplex Offset frequency setting.” (p. 13).
D1,㉘ ~ ㉟,UR (Destination) call sign setting (8 characters; fixed),8,unstated,,15,"Second group of the lower wrapped row: shaded byte cell, dashed shaded ellipsis cell, shaded byte cell, under the bracket labelled ㉘ ~ ㉟; semantics in the right text column below the ㉕ ~ ㉗ block.","Outlined circled numerals printed as a range. Measured byte positions 28-35; the diagram elides the group. Label set across two printed lines, joined with one space. No codes are printed against this field on these pages; the page prints only See “DV TX call signs setting.” (p. 20), which points off these pages, so encoding is recorded as unstated despite the printed “(8 characters; fixed)”."
D1,㊱ ~ ㊸,R1 (Access repeater) call sign setting (8 characters; fixed),8,unstated,,15,"Third group of the lower wrapped row: white byte cell, dashed ellipsis cell, white byte cell, under the bracket labelled ㊱ ~ ㊸; semantics in the right text column, line below the ㉘ ~ ㉟ entry.","Outlined circled numerals printed as a range. Measured byte positions 36-43; the diagram elides the group. Label set across two printed lines, joined with one space. No codes printed against it here; the shared cross-reference See “DV TX call signs setting.” (p. 20) is printed once below all three call-sign fields."
D1,㊹ ~ (51),R2 (Gateway/Link repeater) call sign setting (8 characters; fixed),8,unstated,,15,"Fourth group of the lower wrapped row: shaded byte cell, dashed shaded ellipsis cell, shaded byte cell, under the bracket labelled ㊹ ~ (51); semantics in the right text column, line below the ㊱ ~ ㊸ entry.","Outlined circled numerals printed as a range; the upper index is an outlined circled 51, written here as (51) because Unicode has no circled numeral above 50. Measured byte positions 44-51; the diagram elides the group. Label set across two printed lines, joined with one space. No codes printed against it here; See “DV TX call signs setting.” (p. 20)."
D1,❺ ~ [51],,47,unstated,,15,"Fifth group of the lower wrapped row: a single long dashed outline containing a dotted ellipsis and no byte cells, between the ㊹ ~ (51) group and the (52) ~ (67) group, under the bracket labelled with filled circled numerals 5 ~ 51.","Filled/reversed circled numerals — the only group in this block drawn in that style; written ❺ ~ [51] because Unicode has no filled circled 51. Nothing is printed as a label, width or value for this group anywhere on the page. Width 47 taken from the printed index range 5 to 51; measured byte positions 52-98. The only prose about it is the grey NOTE box: “The same data as ⑤ ~ (51) are stored in ❺ ~ [51].” / “When the Split function is ON, the data of ❺ ~ [51] is used for transmit.” / “Even if the Split function is OFF, enter the data into ❺ ~ [51] to match your transceiver. We recommend that you set the same data as ⑤ ~ (51).” STOP 2."
D1,(52) ~ (67),Memory name setting (16 characters; fixed),16,ascii,"- Character codes— Letters and Numbers | A ~ Z / 41 ~ 5A | a ~ z / 61 ~ 7A | 0 ~ 9 / 30 ~ 39 | - Character codes— Symbols | ! / 21 | # / 23 | $ / 24 | % / 25 | & / 26 | \ / 5C | ? / 3F | ” / 22 | ’ / 27 | ` / 60 | ^ / 5E | + / 2B | − / 2D | * / 2A | / / 2F | . / 2E | , / 2C | : / 3A | ; / 3B | = / 3D | < / 3C | > / 3E | ( / 28 | ) / 29 | [ / 5B | ] / 5D | { / 7B | } / 7D | | / 7C | _ / 5F | ~ / 7E | @ / 40 | 1A 00 / Memory name All characters are usable.",15,"Last group of the lower wrapped row: shaded byte cell, dashed shaded ellipsis cell, shaded byte cell, under the bracket labelled (52) ~ (67); semantics in the right text column below the call-sign block.","Outlined circled numerals above 50, written (52) ~ (67) because Unicode has no circled numeral above 50. Measured byte positions 99-114; the diagram elides the group. Label set across two printed lines, joined with one space. ascii: the referenced tables head their code column “ASCII code”. Values transcribed from the “Codes for character entries” tables on PDF page 16, reached by the printed cross-reference See “Codes for character entries.” (p. 15); entries listed in printed order, row by row, left column pair then right column pair; the pipe character entry appears in the list as | / 7C between the ' | ' separators."
D2,①,Frequency band codes,1,enum_byte,01 / VHF / 144.000000 ~ 148.000000 | 02 / UHF / 430.000000 ~ 450.000000 | 03 / 1.2GHz / 1240.000000 ~ 1300.000000,16,"Left byte cell (two nibble cells split by a dotted rule) of the two-byte block under “Command: 1A 01” in the right column, under the circled index ①; semantics in the table headed ①Frequency band codes below the grey NOTE box.","Outlined circled numeral. Measured byte position 1 of 2. enum_byte: the table prints a closed list of two-digit whole-byte codes against the field. Column-alignment space runs inside the frequency range cells collapsed to single spaces. The grey NOTE box above the table prints: “When sending the contents, the codes, such as operating frequency and operating mode*, should be added after the frequency band code and the register code, as shown below.” and “* See ⑤ to (51) on ‘Memory content setting.’ (p. 14)”."
D2,②,Register codes,1,enum_byte,01 / 1 (Display on left side) | 02 / 2 (Display in center) | 03 / 3 (Display on Right side),16,"Right byte cell (two nibble cells split by a dotted rule) of the two-byte block under “Command: 1A 01” in the right column, under the circled index ②; semantics in the table headed ②Register codes below the frequency band codes table.","Outlined circled numeral. Measured byte position 2 of 2. enum_byte: the table prints a closed list of two-digit whole-byte codes against the field. Below the table the page prints: “To read the contents, the register code should be added after the frequency band code, as shown below.” and “Example: When reading the frequency displayed in the center of the display in the VHF band, use code “0202.””"
