vector_name,first_byte,first_nibble,last_byte,last_nibble,bytes_hex,field_index,status,pdf_page,visual_anchor,notes
read-record,1,-,2,-,FE FE,-,structural,361,"PDF p.361 (folio 20-2), 'Data format', upper frame headed 'Controller to IC-7100': cell (1), the two leftmost cells reading 'FE' 'FE'.",Preamble code (fixed).
read-record,3,-,3,-,88,-,structural,361,"PDF p.361 (folio 20-2), 'Controller to IC-7100' frame: cell (2), printed '88', its vertical leader labelled 'Transceiver's default address'.",Transceiver's default address; the controller-to-transceiver row puts it first.
read-record,4,-,4,-,E0,-,structural,361,"PDF p.361 (folio 20-2), 'Controller to IC-7100' frame: cell (3), printed 'E0', its vertical leader labelled 'Controller's default address'.",Controller's default address.
read-record,5,-,5,-,1A,-,manual_documented,364,"PDF p.364 (folio 20-5), 'Command table (Continued)', left half, second row: Cmd. '1A', Sub cmd. '00', Data 'see p. 20-16', Description 'Send/read the Memory channel contents'.","Command number, printed as '1A' in the command table."
read-record,6,-,6,-,00,-,manual_documented,364,"PDF p.364 (folio 20-5), 'Command table (Continued)', left half, second row: Cmd. '1A', Sub cmd. '00', Data 'see p. 20-16', Description 'Send/read the Memory channel contents'.","Sub command number, printed as '00' in the command table."
read-record,7,-,7,-,01,1,inherited_assumed,,,"Bank A. The document prints no read-request format for 1A 00 anywhere, so the composition of this data area is mine. The byte's ENCODING is printed on PDF p.375 (folio 20-16) as '(1) Bank number 01: A'."
read-record,8,-,9,-,00 01,2 | 3,inherited_assumed,,,"Memory channel 1. Presence and truncation assumed as above. The ENCODING is printed on PDF p.375 (folio 20-16) as '(2), (3) Memory channel number 0001-0099: Memory channel 1 to 99'."
read-record,10,-,10,-,FD,-,structural,361,"PDF p.361 (folio 20-2), 'Controller to IC-7100' frame: rightmost cell (7), printed 'FD', leader labelled 'End of message code (fixed)'.",End of message code (fixed).
set-record-name-with-space,1,-,2,-,FE FE,-,structural,361,"PDF p.361 (folio 20-2), 'Data format', upper frame headed 'Controller to IC-7100': cell (1), the two leftmost cells reading 'FE' 'FE'.",Preamble code (fixed).
set-record-name-with-space,3,-,3,-,88,-,structural,361,"PDF p.361 (folio 20-2), 'Controller to IC-7100' frame: cell (2), printed '88', its vertical leader labelled 'Transceiver's default address'.",Transceiver's default address.
set-record-name-with-space,4,-,4,-,E0,-,structural,361,"PDF p.361 (folio 20-2), 'Controller to IC-7100' frame: cell (3), printed 'E0', its vertical leader labelled 'Controller's default address'.",Controller's default address.
set-record-name-with-space,5,-,5,-,1A,-,manual_documented,364,"PDF p.364 (folio 20-5), 'Command table (Continued)', left half, second row: Cmd. '1A', Sub cmd. '00', Data 'see p. 20-16', Description 'Send/read the Memory channel contents'.",Command number.
set-record-name-with-space,6,-,6,-,00,-,manual_documented,364,"PDF p.364 (folio 20-5), 'Command table (Continued)', left half, second row: Cmd. '1A', Sub cmd. '00', Data 'see p. 20-16', Description 'Send/read the Memory channel contents'.",Sub command number.
set-record-name-with-space,7,-,7,-,01,1,manual_derived,375,"PDF p.375 (folio 20-16), left column, first legend entry below the bar, '(1) Bank number' followed by the line '01: A, 02: B, 03: C, 04: D, 05: E'.",Bank A chosen; '01: A' is the printed value for bank A.
